,x,y,z,vx,vy,vz,phi,theta,psi,wx,wy,wz,a1,a2,a3,a4,r
4.1,1.2197783072171238,3.2424316561576374,4.995660697157538,-0.8909467219528713,-0.052208731387693295,0.024647995167961324,0.2508535817125698,0.015472053467134156,1.0594859291156848,0.010841587455132553,1.5693339192810338,0.1012910154798254,14619.694303930093,14568.446431575358,15216.486640209507,15219.82334226878,-27.966526570420093
4.2,1.1450003426289033,3.2315865091909233,4.998562960440694,-0.5978080400500827,-0.1567028847276322,0.02433824335461944,0.34626815674323635,0.08982687257745109,1.0730275038316488,-0.3610617875848435,0.7901167556488518,0.0675276613045681,14487.967155610484,14180.346737521384,15096.4146283259,15216.096131171063,-27.74268289961333
4.3,1.10390137610127,3.2119478480771964,4.999151894525865,-0.23635825226100154,-0.22540739639847884,-0.0134877946827964,0.3389469312904202,0.13974795148940158,1.0770761823890345,-0.5314198793648444,-0.3816817936038613,0.05294644185121706,14461.091963964274,14171.673252937399,14806.70116521866,15235.850262293596,-27.528423102415832
4.4,1.0980831874436099,3.1880232842571536,4.996136306103163,0.09345508086057128,-0.24373565766494032,-0.04022981173289432,0.23879252321801617,0.144312046919722,1.0691795938404711,-0.47306030229019175,-1.1919620238565043,0.07934660731167661,14652.899194803602,14453.419083205481,14697.071492866107,15035.749328546899,-27.338384524467923
4.5,1.1200373223633673,3.164833830796291,4.992332987077571,0.31373878529919297,-0.21418177676208414,-0.030796432330441464,0.0972692413078418,0.11243088376835127,1.0589168777897424,-0.3309090974163893,-1.4826663226247399,0.07656811153263358,14808.13386299395,14667.190209605491,14669.86765743048,14808.463627821267,-27.20937945974735
4.6,1.1565141235823984,3.146532332793638,4.990667769999501,0.3878432555098269,-0.1503432037289733,-0.0032245809742415697,-0.0416841690807165,0.06145702712923123,1.052858974834782,-0.1467811894593793,-1.3745037821307589,0.047429592691888,14838.05847745045,14781.320940040674,14559.362743872356,14580.702315448714,-27.163619889874127
4.7,1.1930199851299728,3.135540050465266,4.991433249993859,0.3249876558277065,-0.07220003229653997,0.014547591359128134,-0.14557858960825415,0.0063114475196779166,1.0523574130814624,0.0684080825701683,-0.9455496011810381,0.019876710795972318,14791.255705972417,14846.251229612957,14420.881204476296,14353.51256961978,-27.186447482147788
4.8,1.217958779689297,3.1321616197550908,4.992901218934064,0.16983606147980568,-0.0011371602181489558,0.011904359872719848,-0.19110075356672968,-0.039186834796120285,1.0541331288577713,0.25114640479321265,-0.30268166777216915,0.008256534361183088,14688.115367270395,14865.76501826672,14358.507281861934,14221.906108082418,-27.237120145454206
4.9,1.2252660932039918,3.134754654895535,4.993447998174304,-0.01575474271458975,0.0461469517093957,-0.0005763472579038383,-0.17303941385007057,-0.06349374406828333,1.0541380075001288,0.3258182360743893,0.3256523809657976,0.015552193284323316,14580.914810277314,14806.812013967268,14412.249838530344,14265.328708933132,-27.275590659666957
5.0,1.2150591165738036,3.1404754712544127,4.992969669442775,-0.17305830950346204,0.062359691761753884,-0.0068657536485165985,-0.1088886558069396,-0.06329229246178347,1.0521062117004314,0.29095349061839243,0.7246909529074488,0.025767112877060943,14521.803250067998,14686.970840295719,14521.556553575632,14401.50064861133,-27.28276162340968
